"Comment","Designator","Footprint","LCSC Part #","JLC Part #","Attributes"
"CL05A104KA5NNNC","C3,C7,C15","C_0402_1005Metric","C100072","","100n 10% 25V XR 0402"
"CL05A105KO5NNNC","C10,C11,C12,C13,C14,C16,C17","C_0402_1005Metric","","","CAP CER 1UF 16V X5R 0402"
"","C1,C2,C5,C6","C_0603_1608Metric","","","1u 10V XR 0603"
"DF12NB-50DS-0.5V(51)","J3","HRS_DF12NB-50DS-0.5V_51","C2858672","","CONN RCPT 50POS SMD GOLD"
"DF12NB-60DS-0.5V(51)","J2","HRS_DF12NB-60DS-0.5V_51","C5137127","","CONN RCPT 60POS SMD GOLD"
"CRG0603ZR","R3,R6,R7","R_0603_1608Metric","C95177","","RES SMD 0 OHM JUMPER 1/10W 0603"
"RC0805JR-100RL","R4,R8","R_0805_2012Metric","C4143065","","RES SMD 0 OHM JUMPER 0805"
"CR0402-FX-1001GLF","R10,R11","R_0402_1005Metric","C11702","","1k 0402"
"AP2112K-1.2TRG1","U1","SOT-23-5","","","VREG 1.2V SOT-25"
"","U3","QFN-64-1EP_9x9mm_P0.5mm_EP4.7x4.7mm_IHP_C","","",""
